,Needs MWh
0,0.02356
1,0.01859
2,0.01619
3,0.0152
4,0.01503
5,0.01634
6,0.02118
7,0.02908
8,0.030568
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.027521
17,0.03841
18,0.04562
19,0.05388
20,0.05265
21,0.04982
22,0.042
23,0.03213
24,0.02441
25,0.0192
26,0.01655
27,0.01534
28,0.01496
29,0.01578
30,0.01839
31,0.02331
32,0.029445
33,0.002199
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.004948
40,0.034458
41,0.04308
42,0.04891
43,0.05767
44,0.05373
45,0.04778
46,0.04166
47,0.03326
48,0.02676
49,0.02113
50,0.01775
51,0.01598
52,0.01523
53,0.01562
54,0.01727
55,0.02036
56,0.026323
57,0.028409
58,0.03626
59,0.042112
60,0.039494
61,0.040834
62,0.03389
63,0.03608
64,0.03994
65,0.04338
66,0.04856
67,0.05505
68,0.0522
69,0.04768
70,0.04038
71,0.03152
72,0.02356
73,0.01859
74,0.01619
75,0.0152
76,0.01503
77,0.01634
78,0.02118
79,0.02908
80,0.030775
81,0.02273
82,0.01805
83,0.006678
84,0.0
85,0.0
86,0.0
87,0.0
88,0.026427
89,0.03841
90,0.04562
91,0.05388
92,0.05265
93,0.04982
94,0.042
95,0.03213
96,0.02356
97,0.01859
98,0.01619
99,0.0152
100,0.01503
101,0.01634
102,0.02118
103,0.02908
104,0.03058
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.026082
113,0.03841
114,0.04562
115,0.05388
116,0.05265
117,0.04982
118,0.042
119,0.03213
120,0.02356
121,0.01859
122,0.01619
123,0.0152
124,0.01503
125,0.01634
126,0.02118
127,0.02908
128,0.03073
129,6e-05
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.028678
137,0.03841
138,0.04562
139,0.05388
140,0.05265
141,0.04982
142,0.042
143,0.03213
144,0.02356
145,0.01859
146,0.01619
