,Needs MWh
0,0.01396
1,0.01102
2,0.00959
3,0.00901
4,0.0089
5,0.00968
6,0.01255
7,0.01723
8,0.017968
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.013941
17,0.02276
18,0.02703
19,0.03193
20,0.0312
21,0.02952
22,0.02489
23,0.01904
24,0.01446
25,0.01138
26,0.00981
27,0.00909
28,0.00886
29,0.00935
30,0.0109
31,0.01382
32,0.017315
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.018268
41,0.02553
42,0.02898
43,0.03418
44,0.03184
45,0.02831
46,0.02469
47,0.01971
48,0.01586
49,0.01252
50,0.01052
51,0.00947
52,0.00902
53,0.00926
54,0.01023
55,0.01206
56,0.015543
57,0.014249
58,0.01908
59,0.022432
60,0.018564
61,0.022494
62,0.0164
63,0.01925
64,0.02356
65,0.0257
66,0.02878
67,0.03262
68,0.03094
69,0.02826
70,0.02393
71,0.01868
72,0.01396
73,0.01102
74,0.00959
75,0.00901
76,0.0089
77,0.00968
78,0.01255
79,0.01723
80,0.018175
81,0.00988
82,0.00534
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.012847
89,0.02276
90,0.02703
91,0.03193
92,0.0312
93,0.02952
94,0.02489
95,0.01904
96,0.01396
97,0.01102
98,0.00959
99,0.00901
100,0.0089
101,0.00968
102,0.01255
103,0.01723
104,0.01798
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.012502
113,0.02276
114,0.02703
115,0.03193
116,0.0312
117,0.02952
118,0.02489
119,0.01904
120,0.01396
121,0.01102
122,0.00959
123,0.00901
124,0.0089
125,0.00968
126,0.01255
127,0.01723
128,0.01813
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.015098
137,0.02276
138,0.02703
139,0.03193
140,0.0312
141,0.02952
142,0.02489
143,0.01904
144,0.01396
145,0.01102
146,0.00959
147,0.00901
148,0.0089
149,0.00968
150,0.01255
151,0.01723
152,0.018031
153,0.001754
154,0.0
155,0.0
156,0.0
157,0.012327
158,0.017593
159,0.015389
160,0.019481
161,0.02276
162,0.02703
163,0.03193
164,0.0312
165,0.02952
166,0.02489
167,0.01904
168,0.01396
169,0.01102
170,0.00959
171,0.00901
172,0.0089
173,0.00968
174,0.01255
175,0.01723
176,0.017981
177,0.0
178,0.0
179,0.0
180,0.0
181,0.005022
182,0.0
183,0.018066
184,0.018851
185,0.02276
186,0.02703
187,0.03193
188,0.0312
189,0.02952
190,0.02489
191,0.01904
192,0.01446
193,0.01138
194,0.00981
195,0.00909
196,0.00886
197,0.00935
198,0.0109
199,0.01382
200,0.01766
201,0.006408
202,0.010229
203,0.01405
204,0.020531
205,0.010023
206,0.00564
207,0.01423
208,0.022406
209,0.02553
210,0.02898
